"","target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"589","NODE_1136_length_1096_cov_431.451_g1023_i0",0.158305995228017,1,3.68645088048228,3.86549652550755,2,5.10355948022317,0.351408775046141,0.582126214859794,-0.230717439813653,0.0905022905346271,0.0905022905346271
"590","NODE_1136_length_1177_cov_4669.75_g992_i0",0.703412744449099,1,0.703622881507922,2.23768137693522,2,4.00528968813925,0.203425579721383,0.106700605873462,0.0967249738479219,0.479282510081887,0.479282510081887
"591","NODE_1136_length_869_cov_5.61302_g1030_i0",0.207295338061317,1,3.14722149728732,22.5663768716493,2,1.60110583723868,2.05148880651357,1.12613671154784,0.925352094965733,1.69093732538015,1.69093732538015
"592","NODE_1136_length_881_cov_16.362_g1052_i0",0.19388146587158,1,3.28101661463548,30.3367127727105,2,0.879940541221825,2.75788297933732,1.61020762159694,1.14767535774038,1.27107517416913,1.27107517416913
"593","NODE_1137_length_1009_cov_3530.74_g1040_i0",0.142398807265011,1,3.89824731197459,0.852392195150778,2,5.52185173026247,0.0774901995591618,0.0236418719400102,0.0538483276191515,0.047636222241991,0.0538483276191515
"594","NODE_1137_length_1080_cov_3160.94_g976_i0",0.969313058327565,1,0.0623352913179076,0.81547145122916,2,3.00421531192451,0.0741337682935599,0.299395602132514,-0.225261833838954,1.44150073614055,1.44150073614055
"595","NODE_1137_length_1090_cov_90.4087_g1054_i0",0.222281490590758,1,3.00762144935605,1.55201525443191,2,5.43152327707513,0.141092295857447,0.222915735897006,-0.0818234400395592,0.0540961680513291,0.0540961680513291
"596","NODE_1138_length_1075_cov_26.3569_g977_i0",0.757266494948767,1,0.556080093226193,50.1831640058332,2,1.72157351393074,4.56210581871211,1.91431400669137,2.64779181202074,1.73305291418644,2.64779181202074
"597","NODE_1138_length_1094_cov_73.6901_g1025_i0",0.656916178567457,1,0.840397701451842,28.7169673678556,2,4.24640278446377,2.61063339707778,3.1432876220214,-0.532654224943623,0.341226686225915,0.341226686225915
"598","NODE_1138_length_1176_cov_4647.11_g994_i0",0.418157215420188,1,1.74379560744977,2.13136452918095,2,4.41462845297094,0.193760411743722,0.0747026727403637,0.119057739003359,0.270031765415869,0.270031765415869
"599","NODE_1138_length_1243_cov_24.3409_g1027_i0",0.657497325708349,1,0.838629164604434,51.9265280874901,2,1.72105373318848,4.7205934624991,1.95042832134822,2.77016514115088,1.73289479716969,2.77016514115088
"600","NODE_1138_length_929_cov_52.3638_g1059_i0",0.508769004159145,1,1.35152237662086,23.5778894492819,2,3.53734501247187,2.14344449538926,1.22870736029359,0.914737135095675,0.913420519323047,0.914737135095675
"601","NODE_1139_length_1086_cov_18.8264_g1056_i0",0.281722669077664,1,2.53366426985674,31.973074706231,2,1.95673839663571,2.90664315511191,1.06260353900642,1.8440396161055,1.78984218380577,1.8440396161055
"602","NODE_1139_length_1094_cov_27.5207_g1026_i0",0.412670928054015,1,1.77020957599067,42.2037819271445,2,1.50616479419386,3.83670744792223,1.65355059254057,2.18315685538166,1.65015324302876,2.18315685538166
